comuna;educacional_parental;almuerzo;taller_apoyo;matematicas;lectura;escritura;sexo
 Santiago;tecnica;beca;si;0.64;0.85;0.85;M
 Las_Condes;tecnica;estandar;no;1.0;0.92;0.97;M
 Santiago;tecnica;beca;no;0.65;0.77;0.74;M
 Santiago;tecnica;beca;no;0.65;0.58;0.49;H
 Santiago;tecnica;beca;no;0.53;0.61;0.62;M
 Santiago;profesional;beca;no;0.37;0.56;0.47;H
 Nunoa;profesional;estandar;no;0.79;0.89;0.89;M
 Nunoa;tecnica;beca;no;0.53;0.54;0.48;H
 Las_Condes;profesional;estandar;no;1.0;1.0;1.0;M
 Pudahuel;secundaria;estandar;si;0.72;0.65;0.68;H
 Santiago;profesional;beca;no;0.53;0.58;0.55;H
 Pudahuel;tecnica;beca;no;0.54;0.54;0.45;H
 Las_Condes;tecnica;estandar;no;0.71;0.7;0.76;M
 Santiago;tecnica;beca;no;0.77;0.9;0.91;M
 Lo_Prado;profesional;estandar;si;0.75;0.58;0.62;H
 Santiago;tecnica;estandar;no;0.84;0.87;0.91;M
 Nunoa;tecnica;beca;no;0.26;0.31;0.38;M
 Lo_Prado;secundaria;beca;si;0.72;0.67;0.65;H
 Lo_Prado;secundaria;beca;si;0.77;0.88;0.85;M
 Santiago;tecnica;estandar;no;0.91;0.74;0.76;H
 Santiago;tecnica;estandar;si;0.83;0.85;0.9;M
 Santiago;secundaria;estandar;no;0.63;0.69;0.74;M
 Santiago;tecnica;estandar;si;0.68;0.86;0.84;M
 Nunoa;primaria;estandar;no;0.59;0.67;0.61;M
 Pudahuel;tecnica;estandar;si;0.9;0.9;0.91;M
 Nunoa;profesional;estandar;si;0.71;0.76;0.83;M
 Las_Condes;profesional;estandar;si;0.76;0.62;0.66;H
 Nunoa;tecnica;estandar;no;0.8;0.68;0.72;H
 Nunoa;postgrado;estandar;no;0.55;0.64;0.7;M
 Las_Condes;tecnica;estandar;no;0.76;0.71;0.67;H
 Pudahuel;secundaria;estandar;si;0.73;0.71;0.68;H
 Nunoa;tecnica;beca;no;0.52;0.59;0.56;M
 Santiago;tecnica;beca;no;0.68;0.68;0.61;H
 Lo_Prado;secundaria;estandar;no;0.59;0.52;0.46;H
 Pudahuel;tecnica;estandar;no;0.49;0.52;0.54;M
 Santiago;secundaria;estandar;no;0.7;0.74;0.71;H
 Nunoa;tecnica;beca;no;0.61;0.47;0.56;H
 Santiago;tecnica;beca;no;0.6;0.75;0.74;M
 Pudahuel;primaria;estandar;si;0.64;0.53;0.57;H
 Lo_Prado;tecnica;beca;si;0.79;0.82;0.82;H
 Lo_Prado;tecnica;beca;no;0.65;0.85;0.76;M
 Santiago;tecnica;estandar;no;0.64;0.64;0.7;M
 Santiago;tecnica;estandar;no;0.83;0.83;0.9;M
 Santiago;profesional;estandar;no;0.81;0.88;0.9;M
 Pudahuel;secundaria;estandar;no;0.54;0.64;0.68;M
 Nunoa;secundaria;estandar;si;0.68;0.64;0.66;H
 Santiago;tecnica;estandar;no;0.54;0.48;0.52;M
 Nunoa;tecnica;beca;si;0.59;0.78;0.76;M
 Pudahuel;primaria;estandar;no;0.66;0.69;0.68;M
 Las_Condes;tecnica;estandar;no;0.76;0.71;0.72;H
 Nunoa;postgrado;estandar;no;0.74;0.79;0.82;M
 Pudahuel;tecnica;estandar;si;0.94;0.87;0.92;M
 Santiago;tecnica;beca;no;0.63;0.61;0.54;H
 Las_Condes;tecnica;estandar;si;0.95;0.89;0.92;M
 Nunoa;postgrado;beca;no;0.4;0.59;0.54;M
 Pudahuel;primaria;estandar;no;0.82;0.82;0.8;M
 Lo_Prado;secundaria;estandar;no;0.68;0.7;0.66;H
 Pudahuel;profesional;beca;no;0.55;0.59;0.54;H
 Santiago;postgrado;estandar;no;0.79;0.78;0.77;H
 Santiago;profesional;estandar;no;0.86;0.92;0.87;M
 Nunoa;tecnica;estandar;no;0.76;0.71;0.73;H
 Lo_Prado;primaria;estandar;no;0.64;0.5;0.43;H
 Nunoa;primaria;beca;no;0.62;0.49;0.52;H
 Pudahuel;primaria;estandar;si;0.54;0.61;0.62;M
 Pudahuel;postgrado;beca;si;0.77;0.97;0.94;M
 Santiago;primaria;estandar;si;0.76;0.87;0.85;M
 Nunoa;tecnica;estandar;no;0.74;0.89;0.84;M
 Las_Condes;tecnica;estandar;si;0.66;0.74;0.73;M
 Nunoa;primaria;estandar;si;0.66;0.78;0.78;M
 Pudahuel;secundaria;beca;si;0.67;0.78;0.79;M
 Nunoa;tecnica;estandar;no;0.71;0.49;0.52;H
 Santiago;tecnica;estandar;no;0.91;0.86;0.84;M
 Nunoa;profesional;estandar;no;0.69;0.58;0.57;H
 Santiago;postgrado;beca;no;0.54;0.59;0.5;H
 Santiago;secundaria;estandar;si;0.53;0.52;0.49;H
 Las_Condes;tecnica;estandar;no;0.68;0.6;0.59;H
 Santiago;primaria;beca;si;0.56;0.61;0.6;H
 Santiago;secundaria;beca;no;0.36;0.53;0.43;M
 Nunoa;profesional;beca;no;0.29;0.41;0.47;M
 Santiago;tecnica;estandar;no;0.62;0.74;0.7;M
 Santiago;tecnica;estandar;si;0.68;0.67;0.73;M
 Santiago;primaria;estandar;no;0.47;0.54;0.53;M
 Las_Condes;tecnica;estandar;si;0.62;0.61;0.58;H
 Las_Condes;tecnica;estandar;si;0.79;0.88;0.94;M
 Pudahuel;secundaria;estandar;si;0.73;0.69;0.68;H
 Santiago;profesional;beca;si;0.66;0.83;0.83;M
 Santiago;tecnica;estandar;si;0.51;0.6;0.58;H
 Nunoa;secundaria;estandar;no;0.51;0.66;0.62;M
 Las_Condes;profesional;estandar;si;0.85;0.66;0.71;H
 Lo_Prado;tecnica;estandar;si;0.97;0.92;0.86;H
 Santiago;secundaria;estandar;si;0.75;0.69;0.68;H
 Nunoa;tecnica;beca;si;0.79;0.82;0.8;H
 Santiago;tecnica;estandar;no;0.81;0.77;0.79;M
 Nunoa;tecnica;estandar;no;0.82;0.95;0.89;M
 Nunoa;postgrado;estandar;no;0.64;0.63;0.66;M
 Las_Condes;primaria;beca;si;0.78;0.83;0.8;H
 Lo_Prado;primaria;estandar;si;0.92;1.0;0.97;M
 Santiago;secundaria;estandar;si;0.72;0.67;0.64;H
 Santiago;secundaria;beca;no;0.62;0.67;0.64;M
 Santiago;postgrado;estandar;no;0.79;0.72;0.69;H
 Santiago;primaria;beca;no;0.79;0.76;0.65;H
 Pudahuel;profesional;beca;si;0.87;0.9;0.88;H
 Pudahuel;tecnica;estandar;no;0.4;0.48;0.5;M
 Nunoa;tecnica;beca;no;0.77;0.62;0.64;H
 Las_Condes;tecnica;estandar;no;0.53;0.45;0.4;H
 Santiago;tecnica;beca;no;0.32;0.39;0.33;M
 Santiago;tecnica;estandar;si;0.55;0.72;0.79;M
 Santiago;postgrado;beca;no;0.61;0.67;0.66;H
 Pudahuel;tecnica;beca;no;0.53;0.7;0.7;M
 Nunoa;primaria;estandar;no;0.73;0.66;0.62;H
 Nunoa;tecnica;estandar;si;0.74;0.75;0.79;M
 Santiago;tecnica;estandar;no;0.63;0.74;0.74;M
 Santiago;profesional;estandar;si;0.96;0.9;0.92;H
 Nunoa;tecnica;beca;si;0.63;0.8;0.8;M
 Pudahuel;profesional;beca;no;0.48;0.51;0.46;H
 Pudahuel;tecnica;estandar;no;0.48;0.43;0.45;H
 Las_Condes;profesional;beca;si;0.92;1.0;1.0;M
 Nunoa;postgrado;beca;si;0.61;0.71;0.78;M
 Pudahuel;secundaria;beca;no;0.63;0.48;0.47;H
 Nunoa;profesional;beca;no;0.68;0.68;0.67;H
 Pudahuel;tecnica;estandar;si;0.71;0.75;0.7;H
 Lo_Prado;profesional;estandar;no;0.91;0.96;0.92;H
 Santiago;tecnica;estandar;no;0.53;0.62;0.56;M
 Santiago;secundaria;beca;si;0.5;0.66;0.64;M
 Las_Condes;secundaria;estandar;no;0.74;0.81;0.71;M
 Lo_Prado;tecnica;beca;si;0.4;0.55;0.53;H
 Lo_Prado;tecnica;estandar;si;0.61;0.51;0.52;H
 Pudahuel;secundaria;estandar;no;0.81;0.91;0.89;M
 Pudahuel;tecnica;beca;si;0.48;0.56;0.58;M
 Nunoa;postgrado;estandar;no;0.53;0.61;0.68;M
 Nunoa;primaria;estandar;no;0.81;0.97;0.96;M
 Las_Condes;primaria;estandar;no;0.77;0.79;0.8;M
 Nunoa;profesional;beca;no;0.63;0.73;0.78;M
 Nunoa;tecnica;estandar;si;0.73;0.75;0.8;M
 Nunoa;tecnica;estandar;no;0.69;0.77;0.77;M
 Santiago;tecnica;estandar;no;0.65;0.76;0.76;M
 Lo_Prado;secundaria;estandar;no;0.55;0.73;0.73;M
 Santiago;profesional;beca;no;0.44;0.63;0.62;M
 Santiago;tecnica;estandar;no;0.54;0.64;0.65;M
 Lo_Prado;primaria;estandar;no;0.48;0.66;0.65;M
 Santiago;tecnica;beca;no;0.58;0.57;0.54;H
 Lo_Prado;primaria;estandar;no;0.71;0.62;0.5;H
 Las_Condes;profesional;estandar;no;0.68;0.68;0.64;H
 Las_Condes;secundaria;estandar;no;0.74;0.76;0.73;M
 Santiago;profesional;estandar;si;0.92;1.0;0.99;M
 Santiago;profesional;estandar;si;0.56;0.79;0.72;M
 Pudahuel;secundaria;beca;no;0.3;0.24;0.15;H
 Lo_Prado;primaria;estandar;no;0.53;0.54;0.48;H
 Nunoa;secundaria;estandar;no;0.69;0.77;0.73;M
 Nunoa;primaria;estandar;no;0.65;0.82;0.81;M
 Nunoa;postgrado;estandar;no;0.54;0.6;0.63;M
 Santiago;secundaria;estandar;no;0.29;0.29;0.3;M
 Las_Condes;tecnica;estandar;no;0.76;0.78;0.8;M
 Nunoa;secundaria;beca;no;0.6;0.57;0.51;H
 Nunoa;postgrado;beca;si;0.84;0.89;0.9;H
 Santiago;primaria;estandar;no;0.75;0.72;0.62;H
 Santiago;tecnica;estandar;no;0.85;0.84;0.82;M
 Santiago;postgrado;beca;no;0.4;0.58;0.54;M
 Las_Condes;tecnica;estandar;no;0.61;0.64;0.62;M
 Pudahuel;tecnica;estandar;no;0.58;0.63;0.65;M
 Nunoa;tecnica;beca;si;0.69;0.6;0.63;H
 Santiago;tecnica;estandar;no;0.58;0.59;0.66;M
 Santiago;profesional;estandar;si;0.94;0.9;0.91;H
 Santiago;tecnica;estandar;no;0.65;0.77;0.74;M
 Lo_Prado;tecnica;estandar;no;0.82;0.93;0.93;M
 Santiago;secundaria;estandar;no;0.6;0.68;0.72;M
 Las_Condes;profesional;estandar;no;0.37;0.45;0.38;M
 Nunoa;profesional;estandar;no;0.88;0.78;0.83;H
 Nunoa;postgrado;estandar;no;0.95;0.81;0.84;H
 Santiago;tecnica;beca;si;0.65;0.73;0.68;H
 Santiago;secundaria;beca;no;0.35;0.61;0.54;M
 Pudahuel;profesional;beca;no;0.62;0.63;0.56;H
 Santiago;secundaria;beca;si;0.58;0.51;0.52;H
 Lo_Prado;tecnica;estandar;si;1.0;0.96;0.86;H
 Las_Condes;profesional;beca;no;0.61;0.58;0.62;M
 Nunoa;tecnica;estandar;si;1.0;0.97;0.99;H
 Pudahuel;tecnica;beca;si;0.69;0.7;0.63;H
 Nunoa;tecnica;estandar;no;0.61;0.48;0.46;H
 Nunoa;tecnica;beca;no;0.49;0.57;0.46;H
 Santiago;primaria;estandar;si;0.44;0.51;0.55;M
 Nunoa;tecnica;estandar;no;0.67;0.64;0.7;H
 Pudahuel;secundaria;estandar;no;0.79;0.6;0.65;H
 Pudahuel;profesional;estandar;si;0.66;0.74;0.81;M
 Santiago;secundaria;estandar;no;0.75;0.88;0.85;M
 Nunoa;primaria;estandar;no;0.84;0.84;0.8;H
 Lo_Prado;secundaria;estandar;no;0.71;0.74;0.64;H
 Pudahuel;secundaria;beca;si;0.67;0.8;0.81;M
 Nunoa;primaria;estandar;si;0.8;0.92;0.88;M
 Las_Condes;tecnica;estandar;no;0.86;0.76;0.74;H
 Nunoa;tecnica;estandar;no;0.76;0.74;0.73;M
 Nunoa;secundaria;estandar;no;0.41;0.52;0.51;H
 Nunoa;tecnica;beca;si;0.74;0.88;0.9;M
 Pudahuel;primaria;beca;no;0.72;0.81;0.79;M
 Las_Condes;secundaria;estandar;si;0.74;0.79;0.8;M
 Pudahuel;secundaria;estandar;no;0.7;0.65;0.6;H
 Pudahuel;profesional;estandar;si;0.65;0.81;0.81;M
 Nunoa;tecnica;estandar;no;0.59;0.7;0.65;M
 Las_Condes;secundaria;beca;no;0.64;0.62;0.68;M
 Pudahuel;secundaria;estandar;no;0.5;0.53;0.55;M
 Nunoa;tecnica;estandar;si;0.69;0.79;0.81;M
 Santiago;primaria;beca;si;0.51;0.56;0.53;H
 Lo_Prado;secundaria;estandar;si;0.68;0.8;0.76;M
 Nunoa;tecnica;estandar;si;0.85;0.86;0.98;M
 Lo_Prado;tecnica;estandar;si;0.65;0.7;0.74;M
 Pudahuel;primaria;estandar;no;0.73;0.79;0.79;M
 Pudahuel;tecnica;estandar;no;0.62;0.67;0.67;M
 Santiago;tecnica;beca;no;0.77;0.67;0.64;H
 Nunoa;primaria;estandar;no;0.69;0.66;0.61;H
 Nunoa;tecnica;beca;no;0.43;0.6;0.58;M
 Nunoa;tecnica;estandar;no;0.9;0.87;0.85;H
 Santiago;tecnica;beca;no;0.74;0.77;0.73;H
 Santiago;primaria;estandar;no;0.73;0.66;0.63;H
 Nunoa;tecnica;beca;no;0.55;0.71;0.69;M
 Santiago;secundaria;estandar;no;0.65;0.69;0.67;M
 Nunoa;tecnica;estandar;no;0.8;0.63;0.63;H
 Santiago;primaria;beca;si;0.5;0.6;0.6;M
 Santiago;tecnica;beca;si;0.63;0.73;0.71;M
 Pudahuel;profesional;beca;no;0.77;0.85;0.87;M
 Santiago;tecnica;estandar;no;0.73;0.74;0.61;H
 Nunoa;tecnica;estandar;si;0.81;0.72;0.77;H
 Santiago;secundaria;beca;no;0.66;0.76;0.68;M
 Nunoa;tecnica;beca;no;0.52;0.57;0.5;H
 Santiago;tecnica;estandar;no;0.69;0.78;0.76;M
 Santiago;tecnica;estandar;si;0.65;0.84;0.84;M
 Nunoa;secundaria;estandar;si;0.69;0.77;0.78;M
 Pudahuel;tecnica;estandar;si;0.5;0.64;0.66;M
 Las_Condes;tecnica;estandar;si;0.73;0.78;0.76;M
 Santiago;primaria;estandar;si;0.7;0.82;0.76;M
 Nunoa;tecnica;beca;no;0.81;0.75;0.78;H
 Nunoa;tecnica;beca;no;0.63;0.61;0.6;H
 Nunoa;secundaria;estandar;no;0.67;0.72;0.74;M
 Pudahuel;secundaria;estandar;no;0.6;0.68;0.6;H
 Pudahuel;secundaria;estandar;no;0.62;0.55;0.54;H
 Santiago;primaria;beca;si;0.29;0.4;0.44;M
 Pudahuel;tecnica;estandar;si;0.62;0.66;0.68;H
 Las_Condes;postgrado;estandar;si;0.94;0.99;1.0;M
 Las_Condes;tecnica;estandar;si;0.85;0.75;0.68;H
 Nunoa;tecnica;beca;no;0.77;0.78;0.73;H
 Lo_Prado;secundaria;beca;no;0.53;0.58;0.44;H
 Las_Condes;tecnica;beca;no;0.93;0.9;0.83;H
 Santiago;tecnica;estandar;no;0.49;0.53;0.53;M
 Las_Condes;tecnica;beca;no;0.73;0.76;0.78;M
 Santiago;profesional;beca;si;0.66;0.74;0.81;M
 Nunoa;tecnica;estandar;no;0.77;0.77;0.73;M
 Santiago;primaria;estandar;no;0.49;0.63;0.56;M
 Nunoa;tecnica;beca;no;0.79;0.89;0.86;M
 Santiago;tecnica;estandar;si;0.75;0.82;0.9;M
 Lo_Prado;profesional;estandar;no;0.59;0.72;0.7;M
 Nunoa;tecnica;estandar;si;0.57;0.78;0.79;M
 Santiago;secundaria;beca;no;0.66;0.66;0.59;H
 Las_Condes;profesional;estandar;si;0.79;0.81;0.82;M
 Pudahuel;primaria;estandar;no;0.57;0.67;0.72;M
 Lo_Prado;profesional;estandar;si;0.87;0.84;0.87;H
 Nunoa;tecnica;estandar;no;0.63;0.64;0.67;M
 Pudahuel;primaria;beca;si;0.59;0.63;0.64;M
 Lo_Prado;profesional;beca;no;0.62;0.72;0.65;H
 Nunoa;secundaria;estandar;no;0.46;0.34;0.36;H
 Santiago;tecnica;estandar;no;0.66;0.59;0.52;H
 Nunoa;secundaria;estandar;no;0.89;0.87;0.79;H
 Nunoa;tecnica;beca;si;0.42;0.61;0.58;M
 Santiago;tecnica;estandar;si;0.93;0.84;0.9;H
 Las_Condes;primaria;estandar;si;0.8;0.85;0.85;M
 Nunoa;tecnica;estandar;no;0.98;1.0;0.99;M
 Nunoa;postgrado;estandar;no;0.81;0.81;0.84;H
 Pudahuel;primaria;estandar;si;0.6;0.7;0.74;M
 Pudahuel;tecnica;beca;si;0.76;0.94;0.87;M
 Santiago;tecnica;estandar;si;0.73;0.78;0.72;H
 Santiago;tecnica;estandar;si;0.96;0.96;0.99;M
 Santiago;secundaria;estandar;no;0.76;0.76;0.74;M
 Las_Condes;tecnica;beca;si;0.91;0.73;0.8;H
 Santiago;tecnica;beca;no;0.62;0.72;0.7;M
 Nunoa;primaria;beca;si;0.55;0.59;0.59;H
 Pudahuel;primaria;beca;si;0.74;0.9;0.88;M
 Santiago;secundaria;estandar;no;0.5;0.48;0.42;H
 Pudahuel;tecnica;estandar;no;0.47;0.43;0.41;H
 Las_Condes;tecnica;estandar;si;0.81;0.74;0.71;H
 Las_Condes;tecnica;estandar;si;0.65;0.75;0.77;M
 Las_Condes;primaria;estandar;si;0.68;0.51;0.57;H
 Nunoa;secundaria;beca;no;0.73;0.92;0.84;M
 Santiago;tecnica;estandar;no;0.53;0.39;0.37;H
 Pudahuel;tecnica;beca;si;0.68;0.77;0.8;M
 Lo_Prado;primaria;beca;no;0.55;0.46;0.43;H
 Santiago;tecnica;estandar;si;0.87;0.89;0.94;M
 Nunoa;primaria;estandar;no;0.55;0.47;0.44;H
 Las_Condes;tecnica;beca;no;0.53;0.58;0.57;M
 Santiago;postgrado;estandar;no;0.67;0.57;0.59;H
 Santiago;tecnica;estandar;no;0.92;0.79;0.84;H
 Pudahuel;tecnica;beca;si;0.53;0.66;0.73;M
 Nunoa;tecnica;estandar;no;0.81;0.71;0.73;H
 Santiago;secundaria;beca;no;0.61;0.6;0.55;H
 Nunoa;profesional;estandar;no;0.8;0.73;0.72;H
 Lo_Prado;tecnica;beca;no;0.37;0.57;0.56;M
 Santiago;secundaria;estandar;no;0.81;0.84;0.82;M
 Santiago;tecnica;estandar;si;0.59;0.73;0.72;M
 Pudahuel;tecnica;beca;no;0.55;0.55;0.47;H
 Nunoa;tecnica;estandar;no;0.72;0.79;0.74;H
 Nunoa;secundaria;estandar;no;0.69;0.75;0.71;H
 Santiago;tecnica;estandar;no;0.69;0.64;0.68;H
 Santiago;profesional;beca;no;0.5;0.6;0.59;M
 Pudahuel;tecnica;estandar;si;0.87;0.84;0.86;H
 Nunoa;primaria;estandar;si;0.71;0.69;0.68;H
 Las_Condes;tecnica;estandar;no;0.68;0.72;0.65;H
 Santiago;postgrado;beca;si;0.79;0.77;0.75;H
 Santiago;primaria;estandar;si;0.77;0.9;0.85;M
 Santiago;tecnica;beca;no;0.58;0.55;0.53;H
 Las_Condes;tecnica;estandar;no;0.84;0.95;0.92;M
 Nunoa;tecnica;estandar;no;0.55;0.58;0.52;H
 Las_Condes;profesional;beca;si;0.7;0.68;0.72;H
 Nunoa;tecnica;beca;si;0.52;0.59;0.65;M
 Pudahuel;tecnica;estandar;si;0.69;0.77;0.77;H
 Santiago;secundaria;beca;no;0.53;0.72;0.64;M
 Nunoa;primaria;estandar;no;0.48;0.58;0.54;M
 Nunoa;primaria;estandar;si;0.78;0.81;0.86;H
 Pudahuel;secundaria;estandar;no;0.62;0.62;0.63;M
 Nunoa;tecnica;estandar;no;0.6;0.63;0.59;H
 Pudahuel;secundaria;estandar;no;0.74;0.72;0.72;M
 Santiago;secundaria;estandar;si;0.58;0.75;0.77;M
 Pudahuel;secundaria;estandar;si;0.76;0.62;0.6;H
 Nunoa;primaria;estandar;no;0.68;0.71;0.75;M
 Lo_Prado;tecnica;beca;no;0.58;0.6;0.57;H
 Pudahuel;secundaria;estandar;no;0.52;0.48;0.49;H
 Nunoa;profesional;estandar;no;0.75;0.73;0.74;H
 Pudahuel;primaria;beca;si;0.52;0.67;0.72;M
 Santiago;profesional;beca;no;0.62;0.78;0.79;M
 Pudahuel;tecnica;estandar;no;0.66;0.65;0.6;H
 Pudahuel;primaria;beca;no;0.49;0.58;0.55;M
 Pudahuel;secundaria;estandar;no;0.66;0.72;0.7;M
 Santiago;tecnica;beca;no;0.35;0.44;0.43;M
 Lo_Prado;tecnica;estandar;si;0.72;0.79;0.82;M
 Las_Condes;tecnica;estandar;si;0.94;0.85;0.82;H
 Nunoa;tecnica;beca;no;0.46;0.56;0.57;M
 Pudahuel;postgrado;estandar;no;0.77;0.9;0.84;M
 Pudahuel;secundaria;beca;si;0.76;0.85;0.82;M
 Santiago;tecnica;estandar;si;0.52;0.59;0.62;M
 Santiago;profesional;estandar;si;0.91;0.81;0.79;H
 Pudahuel;primaria;estandar;si;0.32;0.51;0.44;M
 Las_Condes;primaria;beca;no;0.72;0.79;0.77;M
 Pudahuel;tecnica;estandar;no;0.19;0.38;0.32;M
 Santiago;tecnica;beca;no;0.68;0.65;0.61;H
 Santiago;postgrado;beca;no;0.52;0.65;0.61;M
 Pudahuel;secundaria;estandar;no;0.48;0.62;0.6;M
 Nunoa;tecnica;beca;no;0.6;0.66;0.7;M
 Nunoa;secundaria;beca;no;0.66;0.74;0.69;H
 Las_Condes;primaria;estandar;si;0.89;0.84;0.77;H
 Pudahuel;secundaria;estandar;no;0.42;0.52;0.51;M
 Las_Condes;tecnica;beca;si;0.57;0.68;0.73;M
 Nunoa;secundaria;estandar;no;0.7;0.7;0.7;H
 Las_Condes;tecnica;beca;no;0.7;0.84;0.81;M
 Las_Condes;tecnica;estandar;no;0.69;0.6;0.54;H
 Santiago;tecnica;estandar;no;0.52;0.55;0.57;M
 Santiago;primaria;estandar;si;0.67;0.73;0.68;H
 Santiago;primaria;estandar;si;0.76;0.8;0.73;H
 Las_Condes;tecnica;estandar;no;0.87;0.94;0.95;M
 Pudahuel;tecnica;estandar;no;0.82;0.85;0.87;M
 Santiago;tecnica;estandar;no;0.73;0.76;0.78;M
 Lo_Prado;tecnica;beca;no;0.75;0.81;0.74;H
 Nunoa;tecnica;beca;no;0.64;0.74;0.75;M
 Las_Condes;secundaria;beca;no;0.41;0.45;0.4;M
 Santiago;secundaria;estandar;no;0.9;0.75;0.69;H
 Pudahuel;profesional;estandar;no;0.59;0.54;0.51;H
 Lo_Prado;primaria;estandar;no;0.51;0.31;0.36;H
 Lo_Prado;secundaria;beca;no;0.45;0.47;0.49;H
 Santiago;postgrado;estandar;si;0.54;0.64;0.67;M
 Las_Condes;primaria;estandar;si;0.87;0.84;0.76;H
 Santiago;secundaria;estandar;no;0.72;0.8;0.83;M
 Pudahuel;primaria;estandar;si;0.94;0.86;0.87;H
 Lo_Prado;profesional;estandar;no;0.45;0.59;0.64;M
 Nunoa;profesional;beca;si;0.61;0.7;0.76;H
 Pudahuel;secundaria;beca;no;0.6;0.72;0.68;M
 Santiago;primaria;estandar;no;0.77;0.91;0.88;M
 Lo_Prado;primaria;estandar;si;0.85;0.9;0.92;M
 Nunoa;profesional;beca;no;0.78;0.9;0.93;M
 Las_Condes;tecnica;beca;si;0.49;0.52;0.51;H
 Pudahuel;secundaria;beca;no;0.71;0.87;0.82;M
 Santiago;primaria;beca;no;0.48;0.58;0.52;M
 Santiago;secundaria;estandar;no;0.62;0.67;0.58;H
 Santiago;tecnica;beca;si;0.56;0.68;0.7;M
 Santiago;primaria;estandar;no;0.65;0.69;0.76;M
 Nunoa;primaria;beca;si;0.69;0.86;0.81;M
 Pudahuel;primaria;estandar;no;0.68;0.54;0.53;H
 Lo_Prado;tecnica;beca;no;0.61;0.6;0.57;M
 Santiago;profesional;beca;si;0.74;0.86;0.89;M
 Lo_Prado;profesional;estandar;no;0.64;0.6;0.58;H
 Pudahuel;secundaria;estandar;si;0.77;0.82;0.89;M
 Pudahuel;tecnica;estandar;no;0.58;0.5;0.45;H
 Santiago;secundaria;estandar;si;0.6;0.64;0.74;M
 Las_Condes;secundaria;estandar;no;0.73;0.64;0.57;H
 Lo_Prado;secundaria;estandar;si;0.75;0.82;0.79;M
 Pudahuel;tecnica;beca;si;0.58;0.57;0.53;H
 Santiago;tecnica;estandar;no;0.66;0.77;0.73;M
 Nunoa;secundaria;beca;no;0.39;0.52;0.46;M
 Santiago;primaria;estandar;no;0.64;0.58;0.51;H
 Pudahuel;secundaria;beca;si;0.23;0.44;0.36;M
 Pudahuel;tecnica;beca;si;0.74;0.77;0.76;H
 Nunoa;primaria;beca;si;0.4;0.65;0.64;M
 Las_Condes;postgrado;estandar;no;0.9;0.85;0.84;H
 Santiago;postgrado;estandar;si;0.91;0.85;0.85;H
 Nunoa;secundaria;estandar;no;0.64;0.54;0.5;H
 Santiago;secundaria;estandar;no;0.59;0.72;0.68;M
 Nunoa;tecnica;estandar;no;0.8;0.75;0.69;H
 Santiago;postgrado;estandar;no;0.71;0.67;0.67;H
 Lo_Prado;secundaria;estandar;no;0.61;0.68;0.63;M
 Las_Condes;tecnica;estandar;no;0.87;0.85;0.93;M
 Las_Condes;primaria;estandar;no;0.82;0.67;0.61;H
 Santiago;primaria;estandar;no;0.62;0.64;0.55;H
 Pudahuel;profesional;estandar;no;0.97;0.97;0.96;M
 Pudahuel;tecnica;beca;no;0.75;0.68;0.65;H
 Santiago;profesional;estandar;no;0.65;0.79;0.81;M
 Pudahuel;secundaria;estandar;si;0.52;0.49;0.46;H
 Santiago;tecnica;beca;no;0.87;0.73;0.72;H
 Santiago;tecnica;estandar;no;0.53;0.62;0.53;M
 Las_Condes;postgrado;beca;no;0.81;0.86;0.87;M
 Nunoa;profesional;beca;si;0.39;0.42;0.38;H
 Santiago;tecnica;estandar;si;0.71;0.71;0.8;M
 Santiago;tecnica;estandar;no;0.97;0.93;0.91;H
 Nunoa;tecnica;estandar;si;0.82;0.82;0.88;H
 Santiago;secundaria;beca;no;0.59;0.53;0.52;H
 Pudahuel;tecnica;estandar;no;0.61;0.42;0.41;H
 Las_Condes;tecnica;beca;si;0.78;0.74;0.72;H
 Santiago;tecnica;beca;no;0.49;0.51;0.51;H
 Pudahuel;secundaria;estandar;no;0.59;0.58;0.47;H
 Santiago;tecnica;estandar;si;0.7;0.72;0.76;M
 Pudahuel;tecnica;estandar;si;0.82;0.84;0.78;H
 Las_Condes;tecnica;beca;no;0.9;0.9;0.82;H
 Santiago;profesional;beca;no;0.43;0.62;0.61;M
 Santiago;tecnica;beca;no;0.8;0.64;0.66;H
 Nunoa;tecnica;estandar;no;0.81;0.82;0.84;H
 Santiago;primaria;estandar;no;0.57;0.61;0.54;H
 Nunoa;primaria;estandar;no;0.59;0.72;0.8;M
 Nunoa;tecnica;estandar;no;0.64;0.76;0.74;M
 Santiago;profesional;estandar;si;0.63;0.64;0.66;H
 Las_Condes;profesional;estandar;si;0.71;0.7;0.7;M
 Pudahuel;secundaria;beca;no;0.64;0.73;0.71;M
 Nunoa;profesional;beca;no;0.55;0.46;0.44;H
 Las_Condes;tecnica;estandar;no;0.51;0.51;0.54;M
 Santiago;tecnica;estandar;si;0.62;0.76;0.8;M
 Las_Condes;tecnica;estandar;si;0.93;1.0;0.95;M
 Santiago;secundaria;beca;no;0.54;0.72;0.59;H
 Nunoa;tecnica;beca;no;0.69;0.65;0.74;M
 Nunoa;secundaria;beca;no;0.44;0.51;0.48;H
 Las_Condes;tecnica;estandar;si;0.86;0.85;0.91;M
 Las_Condes;tecnica;estandar;no;0.85;0.92;0.85;M
